CH2(CH2CH2CH2);Cyclobutane; 52.27; 27.73
CH3CCCH2;2-Butynyl;318.18;310.81
CH3CHCCH;1,2-Butadienyl;328.98;320.26
CH2C(CH3)CHCH2;Isoprene; 96.29; 75.77
O(CHCH);Oxirene;272.44;270.29
CH(OH)2;Dihydroxymethyl;-196.9;-206.3
HC(O)O;Formyloxidanyl;-125.76;-127.42
CH3CH2OCH3;Methoxyethane;-194.27;-217.16
[HNCN]-;Cyanoamidogen anion; 69.75; 66.74
CH3CCl3;1,1,1-Trichloroethane;-133.96;-144.53
CCl2CCl2;Tetrachloroethene;-20.52;-21.38
Cl+;Chlorine atom cation;1370.81;1372.6
CHClF2;Chlorodifluoromethane;-475.57;-481.76
CHF;Fluoromethylene; 148.4;148.69
FCO;Fluoroformyl;-176.62;-176.03
BrCH2CH2OH;2-Bromoethanol;-195.98;-220.04
OCCCO;Carbon suboxide;-94.41; -92.3
C6H5CH2CH3;Ethylbenzene; 58.43; 29.96
CH3NHC(O)OH;Methylcarbamic acid;-414.5;-433.83
CHCHCHO;3-Oxo-1-propenyl;190.97;184.95
CHCCHO;2-Propynal;135.53;133.37
HCCN;Cyanomethylene; 479.6;   483
CH2C(CHCH);3-Methylenecyclopropene;396.11;388.18
C6H5OO;Phenylperoxy;   154;   137
SiF;Fluorosilylidyne;-60.32;-58.48
SiH;Silylidyne;371.23;373.03
SiH3Br;Bromosilane;   -59; -75.5
SiBr(CH3)3;Bromotrimethylsilane;-259.4;  -290
[Si(CH3)3]+;Trimethylsilylium; 655.4; 634.8
CH3CCHCH3;1-Methyl-1-propenyl;240.12;223.95
CH3CH2CHCH;1-Butenyl;263.48;246.14
[HClH]+;Chloronium; 881.5; 878.4
SO;Sulfur monoxide;  5.96;     6
I+;Iodine cation;1115.55;1115.15
CH3C;Ethylidyne;   641; 636.4
[CCH]+;Ethynylium;1687.65;1690.99
[CH2NC]-;Isocyanomethanide;   254;250.96
[HC(O)OO]-;Peroxyformate;-340.93;-346.38
[HOOH]+;Hydrogen peroxide cation; 897.3;890.32
CH3CCH3;1-Methylethylidene;316.08;302.18
CH3CH2CH;Propylidene;349.52;335.83
[CH(CHCH)]+;Cycloprop-2-enylium;1080.47;1075.38
[HOOO]-;Trioxidanide;-120.3;-123.4
CH2(CH2CHCH);Cyclobutene;178.11;161.06
CH2CHCHCH;1,3-Butadienyl; 372.3;361.81
CH2(CH2CH2CH2CH2CH2);Cyclohexane;-83.21;-122.77
[(CH2CH2)OH]+;Protonated oxirane;725.75;709.58
CH3OCH2;Methoxymethyl; 13.47;   0.9
CH3OCH;Methoxymethylene;129.25;118.72
CH3CH2OCH2CH3;Diethyl ether;-222.77;-250.19
HOCN;Cyanic acid;-12.32;-15.03
HCNO;Fulminic acid;170.73;169.27
HONC;Isofulminic acid;235.25;233.55
CNO;Nitrosomethylidyne; 389.4; 390.7
CH3C(O)Cl;Acetyl chloride;-232.51;-241.5
OCHCO;Dioxoethyl;-63.26;-64.67
CH(Cl)OH;Chlorohydroxymethyl; -54.7; -60.7
CH2CCl2;1,1-Dichloroethene;  9.32;  3.33
CI4;Tetraiodomethane; 323.7; 318.6
CF2Cl2;Dichlorodifluoromethane;-488.87;-493.06
CHFCl2;Fluorodichloromethane;-277.62;-283.07
CF2;Difluoromethylene;-193.89;-193.41
CHFO;Formyl fluoride;-378.63;-382.22
CH2CC(CHCHCHCH);Fulvenallene; 368.7; 354.4
CH(CHCHCHCHCHCH);Tropyl;296.87;279.44
CH3C6H4CO;o-Toluoyl; 110.4;  91.9
[OSO]-;Sulfur dioxide anion;-401.27;-403.53
CH3C(OH)CH;2-Hydroxyprop-1-en-1-yl;101.65; 89.42
CH3CH2CH2ONO;Propyl nitrite; -94.5;-119.4
CH2CCHO;1-Formylethenyl;177.62;172.09
CHCHCN;2-Cyanovinyl;447.86;445.37
[CH2CCCH]+;1,2,3-Butatrien-1-ylium;1271.9;1270.1
HCCCHCH;1-Buten-3-yn-1-yl; 547.4;544.73
CH2CHCC;3-Buten-1-ynyl;628.65;626.45
CH3SiH3;Methylsilane; -9.82;-25.99
SiH3F;Fluorosilane;-346.2;-355.6
SiH3Cl;Chlorosilane;-126.5;-135.5
Si(CH3)4;Tetramethylsilane;-185.8;-216.2
SiH2OH;Hydroxysilyl;-104.1;  -112
(CH3)3SiOH;Trimethylsilanol;-465.2;-491.5
CH2CH2NH2;2-Aminoethyl;174.49;158.03
CH3CH(CH3)NH2;2-Propanamine;-56.63;-83.43
Br+;Bromanylium;1257.79;1251.72
[H2OOH]+;Hydroperoxonium; 738.2; 727.9
[N2]+;Dinitrogen cation;1503.31;1503.31
ClOCl;Chloro hypochlorite; 79.79; 77.98
[CO2]+;Carbon dioxide cation;936.089;936.924
Xe+;Xenon cation;1170.35;1170.35
ON(O)O;Nitroxyl; 79.38; 74.12
NH2NH;Hydrazino;234.79;224.27
HN(O)O;Nitryl hydride;-36.67;-43.64
C-;Carbon anion;589.616;594.763
[H2O]+;Oxoniumyl ion;978.496;975.592
ClOOCl;Chlorooxy hypochlorite;134.58;131.34
[HNC]+;Hydrogen isocyanide cation;1351.53;1351.49
[CH2CN]-;Cyanomethanide;113.69;110.87
[CH3OH2]+;Methyloxonium; 589.2;   575
FCl(F)(F)(F)F;Chlorine pentafluoride;  -226;-234.1
[CH3CH2CH2]-;n-Propylide; 123.1; 105.5
[CH2CHCH2]-;Allyl anion;134.02;123.01
[HCCCH]-;Propargylenide; 434.5;   437
[CH3CCCH2]-;2-Butyn-1-yl anion; 253.8; 244.9
CH2(CHCHCHCHCHCH);Cycloheptatriene;207.82; 184.4
CH3(CH2)6CH3;n-Octane;-161.04;-207.88
