CCC;1,2-PROPADIENE-1,3-DIYLIDENE; 814.4;823.36
[CH2CH]-;VINYL ANION;   237;232.58
BrCN;CYANOGEN BROMIDE; 186.8; 180.2
CH3CH2CH2CH2;N-BUTYL; 103.1;  80.6
C(CH3)4;NEO-PENTANE;-134.25;-167.12
CH3CHCHCH3;TRANS-2-BUTENE TRANS-2-BUTENE T2BUTENE;  9.69;-10.88
CH2CHCH2CH3;1BUTENE 1BUTENE 1-BUTENE BUTENE; 21.24;  0.29
CH3CH2CH2CH2CH2CH3;NHEXANE HEXANE HEXANE N-HEXANE NC6H14 N-C6H14;-129.89;-166.76
CH2CHOOH;VINYL HYDROPEROXIDE;-26.04;-38.32
CH3CH2CHO;PROPIONALDEHYDE;-171.09;-186.5
CH3C(O)OCH3;METHYL ACETATE;-394.13;  -413
CH3C(O)CH2;ACETONYL;-18.39;-31.99
NH(CH2CH2);AZIRIDINE;143.58;127.05
CBr4;TETRABROMOMETHANE; 144.8; 115.1
CH3CH2Br;ETHYL BROMIDE;-40.97;-62.92
CH2CCO;PROPADIENONE;132.23;130.59
ClF;CHLORINE FLUORIDE;-55.622;-55.717
[NNH]+;DIAZYNIUM;1042.57;1038.96
[ONO]-;NITRITE;-182.63;-185.44
NH2OH;HYDROXYLAMINE;-33.06;-43.44
CCH2;VINYLIDENE;411.24;412.15
CH2NH2;AMINOMETHYL;159.42;149.58
CH3CH2CCH;1-BUTYNE;180.43;166.84
[CH3C(O)O]-;ACETATE;-495.87;  -505
NCN;METHANETETRAYLBISAMIDOGEN; 451.4;451.81
CHBr3;BROMOFORM; 80.98; 54.83
CH2CHF;VINYL FLUORIDE;-134.5;-142.31
[C6H5]+;PHENYLIUM;1149.32;1136.54
C6H4(CHCHCH2);INDENE; 183.8;159.91
C6H5F;FLUOROBENZENE;-96.04;-111.71
CH3CH2ONO;ETHYL NITRITE;-79.93;-98.67
FO;FLUOROOXIDANYL;110.28; 110.9
NNO;NITROUS OXIDE; 86.02;82.591
[NH2]-;AZANIDE;114.65;111.77
[CH5]+;METHANIUM;922.03;911.78
HOONO;PEROXYNITROUS ACID; -5.74;-14.18
CH3CH;ETHYLIDENE;361.31; 354.3
[CH2NH2]+;AMINOMETHYLIUM;763.62;751.65
CH2CN;CYANOMETHYL;262.84;259.96
FCN;CYANIC FLUORIDE;  8.49;  8.82
CH2CC;PROPADIENYLIDENE;554.47;555.61
(CH3)3C;T-BUTYL; 75.36; 50.07
CH3CH2CH2CH2CH3;NPENTANE PENTANE PENTANE N-PENTANE R601 NC5H12 N-C5H12;-114.16;-146.04
CH2(OH)2;METHANEDIOL;-378.49;-392.43
NCO;CYANOOXIDANYL;126.96;127.44
CH2CHNH2;ETHENAMINE; 69.39; 54.83
CH3CH2F;FLUOROETHANE FLUOROETHANE;-257.24;-272.1
CF3Cl;CHLOROTRIFLUOROMETHANE;-704.26;-709.37
N(CHCHCHCHCH);PYRIDINE;157.34;140.53
NH2CO;CARBAMOYL; -7.73;-14.14
CH2CCCH;1,2,3-BUTATRIEN-1-YL;497.55;497.57
SiH3SiH3;DISILANE;    92;  75.9
CH3CCCCCH3;2,4-HEXADIYNE;380.37;370.34
BrO;BROMOOXIDANYL;131.22;123.68
NH2O;AMINOOXY; 70.65; 64.05
HNOH;HYDROXYAMIDOGEN;101.27; 94.43
[O2]+;DIOXYGEN CATION;1164.59;1165.22
C2;ETHYNYLENE;819.984;828.45
[CH3CH2]-;ETHANIDE;155.44;144.36
[CH2CH]+;VINYLIUM;1119.2;1115.75
HCOH;HYDROXYMETHYLENE; 112.7;108.93
C(O)(OH)2;CARBONIC ACID;-602.24;-612.42
HC(O)OOH;PEROXYFORMIC ACID;-279.2;-288.55
[CH2CCH]-;1,2-PROPADIENYL ANION; 266.1;263.04
CH3CH2CH2OH;1-PROPANOL;-231.13;-254.97
CH2(CH2CH2CH2CH2);CYCLOPENTANE CYCLOPENTANE CYCLOPENTANE CYCLOPEN;-43.37;-75.94
CH3CHOO;2-ETHYLIDENEDIOXIDAN-2-IUM-1-IDE; 51.25; 37.79
[C6H5O]-;PHENOLATE;-145.96;-161.42
CH3CHNH;(1E)-ETHANIMINE; 55.81;  39.6
HCNN;DIAZOMETHYL;467.86;465.31
CF3Br;BROMOTRIFLUOROMETHANE;-638.62;-650.74
CH(CH(CHCH));TETRAHEDRANE;547.73;539.32
SiH2;SILYLENE; 271.6;269.94
OClO;CHLORINE DIOXIDE;101.42; 98.95
[BrO]-;HYPOBROMITE;-95.99;-103.47
NF3;NITROGEN TRIFLUORIDE;-125.84;-131.56
HNNH;(E)-DIAZENE;207.17;200.03
HCNH;(E)-IMINOMETHYL; 275.8;272.19
NCCN;CYANOGEN;308.19;310.14
HC(O)OO;PEROXYFORMYL;-100.4;-105.71
CH3CCH2;1-METHYLETHENYL;263.05;252.65
CH2(CH2CHCHCH2);CYCLOPENTENE; 59.94; 35.67
HOOOH;TRIOXIDANE;-81.75;-90.59
CH2(OO);DIOXIRANE;  9.43;  1.76
(CH3)3N;TRIMETHYLAMINE;   2.7;-26.16
CH2NN;DIAZOMETHANE;273.63;267.36
CCl2;DICHLOROMETHYLENE;229.88;231.06
[CF3]+;TRIFLUOROMETHYLIUM;409.81; 406.6
CH3CHCO;METHYLKETENE; -54.1;-63.58
SiH2SiH2;DISILENE; 288.8; 280.2
HCCCCCH3;1,3-PENTADIYNE; 418.2;413.98
S2;DISULFUR;127.38;127.69
CH3SCH3;DIMETHYL SULFIDE;-20.22;-36.74
[OOO]-;OZONIDE;-58.47;-60.83
NNN;AZIDO RADICAL;452.38;449.79
[NO]+;NITROSYL ION;984.49;984.485
[HOCO]+;HYDROXYOXOMETHYLIUM;600.71;597.63
HNNN;HYDRAZOIC ACID;297.99;291.69
FOOF;DIFLUORODIOXIDANE; 35.38; 31.65
[CH3CO]+;ACETYLIUM;666.71;659.42
HNC;HYDROGEN ISOCYANIDE;192.07;192.45
HCCCl;CHLOROACETYLENE;229.36;230.23
HCCF;FLUOROACETYLENE;104.99;105.71
[CH3CHCH3]+;ISO-PROPYLIUM;822.99;805.91
CH3CHCH;1-PROPENYL;278.21;267.37
[CH3CHOH]+;1-HYDROXYETHYLIUM; 608.9;594.48
HCCO;KETENYL;177.11; 178.2
HCCOH;ETHYNOL; 95.32; 92.83
CH2(OH)O;HYDROXYMETHOXY;-159.58;-169.54
CH3CH2CH2CH2OH;1-BUTANOL;-244.49;-274.74
HC(O)CH2OH;GLYCOLALDEHYDE;-304.28;-317.55
OCHCHO;GLYOXAL;-207.82;-213.46
CH3NHCH2;(METHYLAMINO)METHYL;168.81;152.36
HC(NN);DIAZIRINYL;491.09; 487.7
CH2(NN);DIAZIRINE; 320.7;   313
CCl3;TRICHLOROMETHYL; 73.79; 73.31
CH3CHCl2;1,1-DICHLOROETHANE;-120.15;-132.92
CH2Br2;DIBROMOMETHANE; 27.01;  5.61
C6H5Br;BROMOBENZENE;   127;   105
C6H5CHCH2;PHENYLETHENE;169.91;148.57
C6H5CCH;PHENYLACETYLENE;332.81;317.65
C6H5O;PHENOXY;  71.5; 56.22
[HOO]-;DIOXIDANIDE;-88.92;-91.58
C6H5C(O)CH3;ACETOPHENONE;-60.71; -83.9
CH3NO;NITROSOMETHANE; 80.95; 71.04
HCCNC;ISOCYANOACETYLENE; 484.8;487.03
CH(CHCHCH);CYCLOBUTADIENE;436.58;428.12
CH2C(CHCHCHCH);FULVENE; 232.2; 216.1
SiH3SiH2;DISILANYL; 242.4; 230.4
SiH2O;SILANONE;-93.77;-99.12
SiH3O;SILYLOXY;   8.5;   0.6
SH;SULFANYL;142.81;143.27
CH3SH;METHANETHIOL;-10.39;-20.66
HOClO;CHLOROUS ACID; 25.77; 20.71
[O2]-;DIOXYGEN ANION;-43.36;-42.72
IO;IODOOXIDANYL;127.05;125.12
CF3I;IODOTRIFLUOROMETHANE;-583.19;-589.09
[CO]+;CARBON MONOXIDE CATION;1238.31;1241.59
NH2NH2;HYDRAZINE;111.75;  97.6
[ON(O)O]-;NITRATE;-299.73;-306.28
[CH3]-;METHANIDE;141.16;137.72
CH2N;METHYLENEAMIDOGEN;242.08;238.43
[FO]-;HYPOFLUORITE;-108.84;-108.67
ICN;CYANOGEN IODIDE; 222.5;   222
[HCO]-;FORMYL ANION;  11.6; 11.98
[CH3CH2CH2]+;N-PROPYLIUM;857.17;838.89
CH(CH2CH2);CYCLOPROPYL;303.91;291.29
CCCH;2-PROPYNYLIDYNE;718.79;723.14
CH3CH2CH(CH3)2;ISO-PENTANE;-118.9;-152.95
CH3COH;1-HYDROXYETHYLIDENE; 57.45; 47.08
CCO;DICARBON MONOXIDE;377.13;381.17
(CH3)2N;DIMETHYLAMIDOGEN;175.07;157.73
CH2CHNH;2-IMINOETHYL;219.37;   208
HNNC;ISOCYANOAMIDOGEN; 489.7; 487.7
FOO;FLUORODIOXIDANYL; 26.87; 25.16
CHCl;CHLOROMETHYLENE;320.36;320.65
CH2CF2;1,1-DIFLUOROETHENE;-343.59;-350.65
C6H4(CH2CH2CH2);INDANE; 90.89; 59.86
CH3C6H4C(O)H;O-TOLUALDEHYDE; -44.1; -66.4
NH2C(O)OH;CARBAMIC ACID;-421.82;-435.04
CH3C(O)CHCH2;3-BUTEN-2-ONE;-95.28;-111.52
NH2C(O)NH2;UREA;-218.16;-234.56
[NH2CO]+;OXOMETHANIMINIUM;695.33;688.77
CH3C(O)NH2;ACETAMIDE;-219.62;-237.13
CH2CCN;1-CYANOVINYL; 419.1; 418.9
HCCCCCH2CH3;1,3-HEXADIYNE;405.25;393.56
CH3CHCHCH2;(E)-1-METHYLALLYL; 152.7;135.38
ICl;IODINE MONOCHLORIDE;19.024;17.391
[IO]-;HYPOIODITE;-102.38;-104.19
N+;NITROGEN ATOM CATION;1872.91;1875.69
[NNN]+;TRINITROGEN CATION;1519.59;1516.96
[NO]-;OXONITRATE ANION;  88.1; 88.13
ONN(O)O;NITROGEN SESQUIOXIDE; 90.73; 86.16
CF3CF3;HEXAFLUOROETHANE;-1334.05;-1342.35
[CH2]+;METHYLIUMYL;1393.21;1394.07
[CH2]-;METHYLENE ANION;328.18;328.61
[CH]-;METHYLIDYNE ANION;475.77;479.09
[C2H7]+;ETHANIUM;874.39;858.13
[CH3NH3]+;METHYLAMMONIUM;628.36;609.45
FCl(F)F;CHLORINE TRIFLUORIDE;-158.62;-162.72
[CH3OO]-;METHYLPEROXY ANION;-89.66;-99.81
CH2(CH2CH2CH2);CYCLOBUTANE; 52.27; 27.73
CH3CCCH2;2-BUTYNYL;318.18;310.81
CH3CHCCH;1,2-BUTADIENYL;328.98;320.26
CH2C(CH3)CHCH2;ISOPRENE; 96.29; 75.77
O(CHCH);OXIRENE;272.44;270.29
CH(OH)2;DIHYDROXYMETHYL;-196.9;-206.3
HC(O)O;FORMYLOXIDANYL;-125.76;-127.42
CH3CH2OCH3;METHOXYETHANE;-194.27;-217.16
[HNCN]-;CYANOAMIDOGEN ANION; 69.75; 66.74
CH3CCl3;1,1,1-TRICHLOROETHANE;-133.96;-144.53
CCl2CCl2;TETRACHLOROETHENE;-20.52;-21.38
Cl+;CHLORINE ATOM CATION;1370.81;1372.6
CHClF2;CHLORODIFLUOROMETHANE;-475.57;-481.76
CHF;FLUOROMETHYLENE; 148.4;148.69
FCO;FLUOROFORMYL;-176.62;-176.03
BrCH2CH2OH;2-BROMOETHANOL;-195.98;-220.04
OCCCO;CARBON SUBOXIDE;-94.41; -92.3
C6H5CH2CH3;ETHYLBENZENE ETHYLBENZENE EBENZENE; 58.43; 29.96
CH3NHC(O)OH;METHYLCARBAMIC ACID;-414.5;-433.83
CHCHCHO;3-OXO-1-PROPENYL;190.97;184.95
CHCCHO;2-PROPYNAL;135.53;133.37
HCCN;CYANOMETHYLENE; 479.6;   483
CH2C(CHCH);3-METHYLENECYCLOPROPENE;396.11;388.18
C6H5OO;PHENYLPEROXY;   154;   137
SiF;FLUOROSILYLIDYNE;-60.32;-58.48
SiH;SILYLIDYNE;371.23;373.03
SiH3Br;BROMOSILANE;   -59; -75.5
SiBr(CH3)3;BROMOTRIMETHYLSILANE;-259.4;  -290
[Si(CH3)3]+;TRIMETHYLSILYLIUM; 655.4; 634.8
CH3CCHCH3;1-METHYL-1-PROPENYL;240.12;223.95
CH3CH2CHCH;1-BUTENYL;263.48;246.14
[HClH]+;CHLORONIUM; 881.5; 878.4
SO;SULFUR MONOXIDE;  5.96;     6
I+;IODINE CATION;1115.55;1115.15
CH3C;ETHYLIDYNE;   641; 636.4
[CCH]+;ETHYNYLIUM;1687.65;1690.99
[CH2NC]-;ISOCYANOMETHANIDE;   254;250.96
[HC(O)OO]-;PEROXYFORMATE;-340.93;-346.38
[HOOH]+;HYDROGEN PEROXIDE CATION; 897.3;890.32
CH3CCH3;1-METHYLETHYLIDENE;316.08;302.18
CH3CH2CH;PROPYLIDENE;349.52;335.83
[CH(CHCH)]+;CYCLOPROP-2-ENYLIUM;1080.47;1075.38
[HOOO]-;TRIOXIDANIDE;-120.3;-123.4
CH2(CH2CHCH);CYCLOBUTENE;178.11;161.06
CH2CHCHCH;1,3-BUTADIENYL; 372.3;361.81
CH2(CH2CH2CH2CH2CH2);CYCLOHEXANE CYCLOHEXANE CYCLOHEX;-83.21;-122.77
[(CH2CH2)OH]+;PROTONATED OXIRANE;725.75;709.58
CH3OCH2;METHOXYMETHYL; 13.47;   0.9
CH3OCH;METHOXYMETHYLENE;129.25;118.72
